 FIC_MIS_DATE , V_INSTRUMENT_CODE , V_INSTRUMENT_POSITION , V_CCY_CODE , V_CCY2_CODE , N_DELTA_GIRR_1ST_CCY_0.25YEAR , N_DELTA_GIRR_1ST_CCY_0.5YEAR , N_DELTA_GIRR_1ST_CCY_1YEAR , N_DELTA_GIRR_1ST_CCY_2YEAR , N_DELTA_GIRR_1ST_CCY_3YEAR ,N_DELTA_GIRR_1ST_CCY_5YEAR,N_DELTA_GIRR_1ST_CCY_10YEAR,N_DELTA_GIRR_1ST_CCY_15YEAR,N_DELTA_GIRR_1ST_CCY_20YEAR,N_DELTA_GIRR_1ST_CCY_30YEAR,N_DELTA_GIRR_2ND_CCY_0.25YEAR,N_DELTA_GIRR_2ND_CCY_0.5YEAR,N_DELTA_GIRR_2ND_CCY_1YEAR,N_DELTA_GIRR_2ND_CCY_2YEAR,N_DELTA_GIRR_2ND_CCY_3YEAR,N_DELTA_GIRR_2ND_CCY_5YEAR,N_DELTA_GIRR_2ND_CCY_10YEAR,N_DELTA_GIRR_2ND_CCY_15YEAR,N_DELTA_GIRR_2ND_CCY_20YEAR,N_DELTA_GIRR_2ND_CCY_30YEAR,N_VEGA_GIRR_1ST_CCY_0.5YEAR,N_VEGA_GIRR_1ST_CCY_1YEAR,N_VEGA_GIRR_1ST_CCY_3YEAR,N_VEGA_GIRR_1ST_CCY_5YEAR,N_VEGA_GIRR_1ST_CCY_10YEAR,N_VEGA_GIRR_2ND_CCY_0.5YEAR,N_VEGA_GIRR_2ND_CCY_1YEAR,N_VEGA_GIRR_2ND_CCY_3YEAR,N_VEGA_GIRR_2ND_CCY_5YEAR,N_VEGA_GIRR_2ND_CCY_10YEAR,N_CURVATURE_GIRR_1ST_CCY,N_CURVATURE_GIRR_2ND_CCY
12/31/2021, 000400-835 ,, VND ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/2021, 000400-836 ,, VND ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/2021, 000400-837 ,, VND ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/2021, 000400-838 ,, VND ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/2021, 000400-839 ,, VND ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/2021, 000400-840 ,, VND ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/2021, 000400-841 ,, VND ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/2021, 000400-842 ,, VND ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/2021, 000400-843 ,, VND ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/2021, 000400-844 ,, VND ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/2021, 000400-845 ,, VND ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/2021, 000400-846 ,, VND ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/2021, 000400-847 ,, VND ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/2021, 000400-848 ,, VND ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/2021, 000400-849 ,, VND ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/2021, 000400-850 ,, VND ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/2021, 000400-851 ,, VND ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
